,gain
PM10,2469590085.7626953
PM10_city_mean,1930922974.3691406
PM10_city_mean_lag1,368117144.0
CO_city_min,310645860.3469238
CO_city_mean,231396737.7524414
CO,162089487.8083496
CO_city_mean_lag1,127786324.2915039
NO2_city_mean_rm24,125184556.21777344
PM10_rm3,123814192.2376709
PM10_city_min,96353503.73144531
CO_city_mean_rm6,87357509.58032227
dewp_dep,82695495.88671875
rh,62755784.056152344
PM10_lag1,52208601.99230957
CO_city_mean_rm24,39357455.649902344
doy_cos,28706489.456298828
doy_sin,28571839.50439453
CO_rmin24,27616075.892944336
station_code,25694992.82836914
PM10_city_mean_rm6,23253558.063720703
DEWP_lag1,22601300.977539062
DEWP,20617448.03100586
wind_v_rm6,18508914.2265625
PM10_city_mean_rm24,18323461.010986328
SO2_city_min,17939576.262939453
PM10_city_dev,15126546.883544922
PM10_over_CO,14480341.731201172
PRES_rm24,13213589.356445312
DEWP_diff3,12908749.017333984
PRES_diff24,12903034.720703125
DEWP_rm6,12430032.955566406
TEMP_diff3,11701132.978271484
PM10_city_mean_diff1,11691427.29321289
PM10_diff1,11563284.949951172
TEMP_rm24,11231646.187866211
CO_city_mean_lag6,11123039.384521484
CO_rm24,10976743.012207031
PM10_city_max,10799683.161865234
CO_diff1,10580002.718261719
WSPM_rmax6,10534248.303955078
DEWP_diff24,10493496.19128418
DEWP_rm24,10080857.363769531
PM10_dev24,9857577.012939453
O3_city_mean_rm24,9543060.514892578
NO2_city_mean_rm6,9015966.55859375
WSPM_lag1,8846850.44921875
CO_city_dev,8513376.999267578
PRES_diff3,8121238.222167969
PM10_rmin24,8055193.439208984
PM10_rmax6,7816551.845214844
PM10_city_std,7809626.010498047
DEWP_lag3,7302396.983032227
CO_city_max,7159949.765380859
NO2_city_mean,7152829.710205078
PM10_rm6,7066175.448486328
wind_v,6634374.8310546875
CO_city_mean_diff1,6448721.165771484
SO2_city_mean,6139419.732910156
PRES_lag3,5917622.222167969
O3_rmax24,5657929.0283203125
SO2_city_mean_rm24,5495143.209228516
PM10_diff3,5463954.524291992
NO2_diff1,5423314.494628906
NO2,5105644.833251953
O3_city_mean_lag6,4960540.2685546875
TEMP_diff24,4946125.827392578
SO2_city_mean_rm6,4912574.905029297
PRES_lag1,4860244.5927734375
NO2_city_min,4799238.468994141
month,4774025.197265625
CO_city_mean_lag3,4748204.387207031
dow,4590389.979736328
WSPM_rm24,4482657.197998047
PM10_city_mean_lag6,4405898.166748047
PRES_rm6,4381775.980224609
CO_rm3,4338480.600463867
hour_cos,4294578.430175781
NO2_rs24,3910544.473876953
SO2_city_mean_lag6,3886039.3920898438
NO2_rmin24,3859007.4545898438
PM10_rmax24,3734296.4165039062
NO2_rmax24,3699249.5869140625
SO2,3661894.2385253906
NO2_city_max,3589820.0161132812
DEWP_diff1,3561349.7365722656
PM10_rs24,3512831.2509765625
wind_u_rm6,3479476.8671875
NO2_city_dev,3327727.8889160156
PRES,3321922.906982422
RAIN,3317651.029296875
O3_city_mean_lag3,3311561.7287597656
CO_rm12,3298778.4748535156
O3_city_mean_diff1,3282052.5446777344
O3_rs24,3220362.4633789062
CO_city_std,3139426.368408203
NO2_city_mean_lag1,3078214.8159179688
NO2_city_mean_lag6,3050838.4204101562
hour,3031932.540283203
CO_rs24,2964296.315673828
CO_rmax24,2924303.4650878906
SO2_city_mean_lag3,2906824.623046875
SO2_rm12,2853702.75390625
RAIN_rsum24,2819088.516357422
PM10_rm24,2797806.8103027344
RAIN_rsum6,2761410.2775878906
CO_dev24,2737233.8122558594
SO2_city_mean_diff1,2729177.258544922
SO2_city_mean_lag1,2719536.7377929688
SO2_rmin24,2700866.7543945312
SO2_diff1,2693599.4920654297
NO2_rm24,2634165.4619140625
O3_rmax6,2583742.423828125
NO2_city_mean_diff1,2550786.9821777344
O3_rmin24,2547223.6291503906
NO2_city_std,2546962.314453125
PM10_rm12,2546873.8942871094
O3_rm24,2538946.2924804688
hour_sin,2533097.9665527344
O3_city_max,2519848.7700195312
TEMP_lag3,2438140.0493164062
O3_dev24,2436106.321166992
SO2_dev24,2364740.9321289062
NO2_dev24,2284796.7213134766
PM10_lag24,2227570.5189208984
CO_rm6,2214567.748779297
SO2_city_dev,2208321.365234375
SO2_rmax24,2174660.3100585938
TEMP_lag1,2144195.8608398438
TEMP_diff1,2076509.443359375
CO_lag12,2074324.3552246094
SO2_rs24,1953526.5812988281
NO2_city_mean_lag3,1876412.5711669922
WSPM_rm6,1855964.5787353516
O3_diff3,1854491.2229003906
O3_city_mean,1839688.7136230469
CO_lag24,1820795.08203125
O3_city_std,1819215.2700195312
PM10_rs6,1787647.787475586
O3,1783126.5070800781
SO2_rm24,1766685.3698730469
O3_lag24,1744902.0311279297
PM10_city_mean_lag3,1738226.3693847656
SO2_lag24,1717834.6108398438
O3_city_mean_lag1,1706187.0581054688
NO2_rmax6,1569946.1843261719
O3_city_dev,1563927.5329589844
O3_rm12,1559770.767578125
CO_diff3,1524843.9340820312
SO2_city_std,1502584.9321289062
NO2_rm12,1470139.2069091797
PM10_lag12,1410323.6604003906
SO2_city_max,1406239.7531738281
O3_diff1,1403084.9384765625
O3_lag12,1343166.7751464844
TEMP_rm6,1331196.2416992188
NO2_diff3,1314656.9702148438
NO2_over_O3,1286877.03125
SO2_lag12,1276046.7414550781
SO2_lag6,1239267.0222167969
O3_rs6,1237373.1142578125
O3_city_min,1211066.3657226562
CO_lag1,1196796.6353759766
O3_city_mean_rm6,1191228.1899414062
O3_lag3,1184592.4677734375
wd_cos,1180429.4904785156
PM10_lag2,1171734.3291015625
NO2_lag6,1145721.2084960938
TEMP,1128656.8620605469
O3_lag1,1115660.1823730469
PRES_diff1,1099785.3322753906
NO2_lag24,1066771.5822753906
CO_lag6,1055172.4670410156
SO2_rs6,1045026.5383300781
CO_rs6,1034024.1005859375
NO2_lag12,978681.6716308594
O3_lag6,978412.7590332031
SO2_rmax6,953192.6145019531
WSPM_diff1,947012.0654296875
PM10_lag6,931864.5708007812
SO2_diff3,926690.1292724609
CO_rmax6,886970.6306152344
O3_rm3,882898.9016113281
SO2_rm6,872535.5981445312
PM10_lag3,866716.1010742188
wind_u,861342.91015625
WSPM_diff24,824463.6545410156
NO2_lag2,803749.3205566406
SO2_rm3,778626.1904296875
NO2_rs6,772817.5463867188
SO2_lag2,729662.5102539062
CO_lag2,683081.6020507812
NO2_rm6,641866.0827636719
O3_rm6,630312.5314941406
SO2_lag1,625548.9018554688
NO2_lag3,610011.8797607422
CO_lag3,601829.9194335938
NO2_lag1,591491.111328125
WSPM_diff3,582966.2961425781
SO2_lag3,549129.3515625
O3_lag2,540521.0788574219
WSPM_lag3,473353.1398925781
WSPM,445613.6467285156
n_stations_reporting,433931.82568359375
NO2_rm3,432901.3625488281
wd_sin,404837.2595214844
is_weekend,352109.34912109375
heating_season,333428.64990234375
wd_deg,319858.4230957031
n_missing_poll,105209.5830078125
calm,5179.22998046875
wd_missing,0.0
PM10_isna,0.0
SO2_isna,0.0
NO2_isna,0.0
O3_isna,0.0
CO_isna,0.0
