,gain
PM10,613459.5027630925
PM10_city_mean,133864.91360664368
CO_city_min,104412.525323987
CO_city_mean,100268.37542015314
CO,44824.85619080067
CO_city_mean_lag1,43239.07039272785
PM10_lag1,20705.4084802866
wind_v_rm6,20497.25098001957
PM10_city_min,16448.32693940401
PM10_rm3,13939.448628664017
CO_city_mean_rm6,12369.12290841341
PM10_city_mean_lag1,10460.071797728539
dewp_dep,9007.530262231827
DEWP,6034.50963896513
station_code,5839.46381342411
doy_sin,5570.641505300999
rh,5168.2916768193245
CO_city_mean_rm24,4711.787036836147
DEWP_diff24,4247.338321983814
doy_cos,4026.320833861828
DEWP_lag1,3971.5957965254784
wind_v,3613.8746837973595
CO_rmin24,3301.3045276999474
SO2_city_min,3064.884316921234
DEWP_rm6,2915.354388177395
DEWP_diff3,2852.9975247979164
NO2,2275.6309369802475
SO2,2253.886063992977
O3_rs24,2252.102086722851
TEMP_diff3,2220.398694872856
O3_city_mean_rm24,2216.989035129547
PM10_city_mean_rm24,2157.115755021572
CO_lag1,2148.947969019413
PRES_diff24,2095.7769719958305
DEWP_rm24,2091.4402042627335
TEMP_rm24,2091.184483230114
NO2_city_mean,2060.8457192778587
CO_rm3,1942.1006942391396
PM10_city_mean_diff1,1853.2593015432358
PRES_diff3,1841.006035745144
PRES_rm24,1819.6053524017334
CO_diff1,1737.405810534954
WSPM_rmax6,1732.7779643535614
CO_rm24,1704.372917354107
CO_city_mean_diff1,1699.9202021956444
month,1686.9652215838432
PM10_city_mean_rm6,1668.5997581481934
PM10_city_dev,1662.3465623259544
NO2_city_mean_rm24,1600.2512847781181
NO2_city_min,1576.4898449778557
DEWP_lag3,1545.9973067045212
PM10_over_CO,1469.586782157421
O3_rmax24,1434.2049108147621
NO2_city_dev,1431.5407524108887
CO_city_mean_lag6,1409.9884579777718
PM10_rmin24,1285.8058094978333
NO2_rmin24,1284.8290011286736
WSPM_lag1,1255.406194627285
SO2_city_mean_rm24,1230.4607958197594
TEMP_diff24,1166.4549695849419
hour,1102.5613718032837
PM10_diff1,1081.9601222872734
SO2_rmin24,1042.619314789772
CO_city_dev,991.4868804812431
SO2_city_mean,978.9951829910278
hour_sin,977.9700040817261
NO2_diff1,966.2928237915039
PRES_lag1,876.1962096691132
RAIN_rsum24,872.0751948952675
SO2_city_mean_rm6,835.4031097888947
PM10_dev24,814.4813315272331
PRES_lag3,794.917038321495
PM10_city_std,751.8785825967789
PRES,751.8348752856255
wd_cos,743.9721723198891
WSPM_rm24,742.7504621744156
CO_rm12,735.2501073479652
CO_city_std,718.1805701851845
RAIN_rsum6,693.7827303409576
NO2_rmax24,662.8851963877678
SO2_city_dev,649.8079392313957
hour_cos,640.8066100478172
O3_city_mean,636.9073705077171
NO2_city_mean_diff1,627.8506013154984
PM10_rs24,625.7919385433197
NO2_city_mean_lag1,624.6062061786652
PM10_city_mean_lag6,594.4242594838142
PM10_rmax24,583.9022796750069
O3_rm24,570.9547922611237
PM10_rmax6,561.5296075940132
CO_city_max,553.5606137514114
SO2_dev24,549.5492611527443
O3_city_mean_rm6,546.108806014061
TEMP_lag1,544.8594876527786
CO_rs24,538.5667551159859
O3_city_mean_lag3,534.7685142755508
SO2_city_mean_lag1,523.1586138606071
DEWP_diff1,510.9187358021736
NO2_rm24,510.01944947242737
O3_rmin24,509.3911682963371
CO_dev24,508.9073214530945
RAIN,508.3235074877739
O3_dev24,506.74462950229645
NO2_city_max,505.6817045211792
O3_city_dev,505.576728284359
PRES_rm6,498.45532101392746
O3,496.75577116012573
TEMP_lag3,496.58333253860474
SO2_rm3,485.46250307559967
O3_city_mean_lag6,484.77569979429245
O3_city_max,477.22970032691956
PM10_rs6,474.5201538205147
PM10_city_max,469.60880917310715
PM10_diff3,467.0138455629349
SO2_diff1,466.171891272068
SO2_city_mean_lag6,449.2499685883522
TEMP,445.7207897901535
O3_city_mean_lag1,444.12439876794815
SO2_rmax24,439.4240362048149
TEMP_diff1,438.8957126736641
SO2_city_mean_diff1,430.9281546473503
PM10_rm24,429.0217376947403
CO_rmax24,410.7455567717552
PM10_lag24,408.7840451002121
wind_u_rm6,408.24250185489655
NO2_rs24,403.0592719912529
SO2_rs24,396.86575013399124
dow,392.46991872787476
O3_city_min,388.84344506263733
SO2_rm24,388.7824513912201
SO2_city_mean_lag3,378.6937483549118
WSPM_rm6,374.62150233983994
CO_rm6,373.96282094717026
O3_diff1,371.9152455329895
