,gain
pm25_lag1,5834688486.935669
pm25_rm3,2029317989.6203613
pm25_lag2,1695738122.4672852
pm25_rm6,719622841.1120605
PM10,236086807.90222168
PM10_city_mean,186743798.86914062
pm25_diff1,117290581.52709961
pm25_rmax6,94014304.02124023
DEWP_diff3,78554661.20361328
PM10_diff1,56176557.65649414
PM10_city_mean_diff1,44632182.177490234
pm25_lag3,37072100.7043457
PM10_rmin24,26735317.14477539
CO_diff1,22163075.012451172
CO_city_mean_diff1,21901148.57373047
CO_city_min,21457670.45751953
PM10_dev24,19648678.532714844
PM10_city_min,17829483.23095703
DEWP_diff24,14690648.095947266
PM10_diff3,14570848.514892578
CO,10945638.610595703
CO_city_mean,10578723.835205078
DEWP_diff1,10429723.595458984
pm25_rm24,9938451.731201172
NO2_city_mean_rm6,9687686.206542969
wind_v,8598431.078125
PM10_city_mean_lag1,7615152.417236328
PM10_city_dev,7034480.107788086
PM10_city_max,6825495.330566406
pm25_dev24,6448726.697265625
NO2_diff1,6199926.477172852
CO_rmin24,6160834.224853516
WSPM_rmax6,5239827.953857422
NO2_city_mean,5103551.875244141
NO2_city_min,5057935.058837891
wind_v_rm6,4870405.178955078
PM10_city_std,4769718.724853516
WSPM_lag1,4438377.6357421875
dewp_dep,4368945.243896484
NO2_city_mean_diff1,4103173.7142333984
station_code,3715645.7420654297
TEMP_diff3,3564244.418701172
WSPM_diff24,3215079.9780273438
rh,3154352.8330078125
SO2_city_mean_diff1,2830337.971923828
TEMP_diff1,2793010.8841552734
RAIN,2748866.8779296875
CO_diff3,2618564.9615478516
NO2_city_mean_rm24,2554721.9604492188
CO_city_mean_lag1,2518872.2885742188
SO2_city_mean,2455963.188232422
CO_dev24,2421627.6662597656
NO2_diff3,2395313.897216797
CO_city_mean_rm24,2372905.2556152344
DEWP,2357038.9489746094
PRES_diff3,2350098.8330078125
WSPM_diff3,2264140.0971679688
SO2_diff1,2236083.448120117
CO_rs6,2160534.0939941406
PM10_city_mean_lag6,2067692.9541015625
WSPM_diff1,2012820.8911132812
TEMP_diff24,1959565.1867675781
SO2_lag24,1953211.1437988281
NO2_city_max,1929135.2614746094
DEWP_lag1,1918337.47265625
PM10_lag1,1847729.4521484375
PRES_diff24,1808070.1201171875
doy_sin,1747217.9874267578
CO_city_std,1706205.2907714844
SO2_city_min,1677217.3076171875
doy_cos,1669444.5384521484
wind_u,1652385.1589355469
RAIN_rsum6,1549463.3708496094
CO_city_dev,1478365.2016601562
PM10_lag12,1470111.78515625
PM10_city_mean_lag3,1448579.6274414062
WSPM_rm6,1419341.259765625
WSPM,1415554.6164550781
CO_city_max,1408156.1286621094
O3_city_mean_rm24,1407280.4110107422
NO2_city_mean_lag6,1387158.0065917969
O3_city_mean_diff1,1362789.2687988281
hour_cos,1352560.5561523438
PM10_lag24,1310404.5661621094
CO_city_mean_lag6,1281441.8474121094
NO2_dev24,1265060.7923583984
SO2_city_max,1265044.5693359375
O3_city_mean,1242056.9133300781
NO2_city_mean_lag3,1189098.8073730469
NO2_city_std,1176228.7016601562
SO2_city_mean_lag3,1173660.2470703125
PM10_city_mean_rm6,1142515.6726074219
O3_city_mean_lag6,1136520.2265625
PM10_lag2,1131191.6694335938
CO_city_mean_lag3,1129312.1896972656
PM10_lag6,1126524.2487792969
NO2,1111702.0336914062
PM10_over_CO,1095444.4990234375
PM10_rm3,1089787.8979492188
SO2_city_mean_rm6,1085882.8508300781
PM10_rmax6,1081138.6240234375
SO2_city_mean_rm24,1044648.7492675781
NO2_city_dev,1043086.662109375
TEMP_rm24,1041812.4165039062
SO2_city_dev,1039983.8291015625
CO_rm24,1039552.837890625
O3_city_mean_lag1,1021917.4128417969
wd_cos,1015095.9838867188
DEWP_lag3,997964.6579589844
CO_lag1,994760.3427734375
WSPM_rm24,990643.1645507812
PM10_city_mean_rm24,953392.5642089844
CO_lag24,952709.837890625
O3_city_mean_lag3,945884.7385253906
hour,943135.28515625
TEMP_lag1,938484.2927246094
PRES_diff1,931221.9677734375
PM10_rs6,929529.1943359375
PRES_rm24,929358.1684570312
NO2_lag1,912384.2319335938
O3_city_max,904285.5505371094
SO2_city_mean_lag6,904062.1735839844
SO2_city_mean_lag1,900097.9113769531
SO2_diff3,897734.7680664062
NO2_city_mean_lag1,886675.9146728516
SO2,878636.4193115234
SO2_dev24,856674.1596679688
SO2_city_std,853712.0798339844
month,852347.4916992188
NO2_over_O3,843240.5686035156
hour_sin,841530.0979003906
PM10_rs24,821032.8759765625
O3_diff3,816082.7896728516
PRES_lag3,814171.3254394531
NO2_lag12,812778.5617675781
TEMP_lag3,809378.6625976562
NO2_rs6,809068.3811035156
O3_rs6,803354.80078125
O3_dev24,799729.0590820312
PM10_lag3,791624.1689453125
SO2_rs6,789005.0810546875
DEWP_rm24,773453.7927246094
O3_diff1,770613.271484375
O3_city_std,757387.4211425781
O3_lag12,752955.5166015625
O3_lag24,742927.2165527344
O3_rs24,739410.5307617188
CO_lag12,731833.7915039062
DEWP_rm6,717970.1511230469
CO_city_mean_rm6,714405.2990722656
O3_city_mean_rm6,714276.8996582031
PM10_rm6,701245.359375
SO2_rm24,690740.3986816406
wind_u_rm6,671444.3137207031
O3_city_min,667726.9714355469
PRES,660546.7193603516
SO2_lag1,657444.8188476562
CO_rm3,651158.1936035156
NO2_rs24,651081.9909667969
PRES_lag1,646129.3815917969
O3_lag1,643135.3798828125
TEMP,642783.9807128906
NO2_lag24,627936.7797851562
TEMP_rm6,626334.3305664062
CO_rm6,623350.2416992188
NO2_lag6,621654.728515625
NO2_rmin24,620716.6398925781
NO2_rm3,618298.9616699219
WSPM_lag3,598370.1408691406
O3_city_dev,590721.048828125
NO2_rmax6,574544.52734375
NO2_lag3,572420.7386474609
PM10_rm24,571532.1003417969
SO2_lag6,567790.51953125
NO2_rm24,553815.0139160156
CO_lag6,542535.0004882812
NO2_rmax24,532080.4497070312
NO2_lag2,523920.61083984375
CO_rs24,522046.14697265625
O3_lag3,521326.8200683594
SO2_lag12,519493.1376953125
O3_rm12,511104.560546875
SO2_lag2,502814.07568359375
SO2_rm3,499291.65771484375
O3_lag6,481752.560546875
PM10_rm12,481379.3203125
O3,472682.9921875
wd_deg,461984.31201171875
CO_lag3,460801.6594238281
PRES_rm6,442028.9099121094
RAIN_rsum24,439094.1179199219
O3_rmax24,428951.9006347656
SO2_rmax24,417159.8525390625
O3_rm3,413476.8684082031
n_missing_poll,408547.9460449219
CO_rm12,393605.26123046875
CO_lag2,392602.32080078125
SO2_rs24,387570.9797363281
SO2_lag3,387411.71044921875
SO2_rmin24,383227.3596191406
CO_rmax24,378983.7185058594
O3_rm24,376007.31982421875
SO2_rm12,375252.8381347656
CO_rmax6,367725.4482421875
SO2_rmax6,351620.7561035156
O3_lag2,343688.1403808594
NO2_rm12,336389.7900390625
PM10_rmax24,332362.11865234375
SO2_rm6,307004.16943359375
O3_rmax6,279301.4597167969
dow,275353.35107421875
NO2_rm6,256280.470703125
wd_sin,254501.57177734375
O3_rmin24,248488.41967773438
O3_rm6,244903.19067382812
n_stations_reporting,68792.85888671875
is_weekend,21515.9501953125
heating_season,11939.2001953125
O3_isna,0.0
CO_isna,0.0
SO2_isna,0.0
calm,0.0
wd_missing,0.0
NO2_isna,0.0
PM10_isna,0.0
