,gain
PM10_c5,2971227375.3007812
PM10_lead1,1414244560.6796875
PM10_city_mean,371017342.2910156
CO_city_mean_lead1,288281989.4941406
PM10_city_mean_lead1,280390020.20703125
PM10_c13,193857185.80078125
PM10,179491513.20703125
CO_city_mean,138257196.40234375
CO_lead1,115131129.90429688
CO_city_mean_lead2,88018901.09765625
CO_city_mean_rm24,62457650.28125
CO_city_min,59916702.599609375
CO_city_mean_lag1,50803174.314453125
dewp_dep,44074754.80859375
CO_leadrm3,35282044.400390625
CO_rmin24,27574399.1015625
CO_c13,24589470.09765625
PM10_city_mean_rm6,23164594.203125
rh,21402452.9140625
CO_leadmax3,20656526.697265625
NO2_city_mean_rm24,20620816.606445312
PM10_rm3,20604029.498046875
DEWP_lag1,20453567.2890625
PM10_city_min,18668457.787109375
DEWP_rm6,18613979.107421875
CO_city_mean_rm6,18563245.6953125
doy_cos,18455075.073242188
CO_city_mean_lead3,17194925.10546875
CO_c5,15654999.1015625
PM10_leadrm3,14777618.8984375
doy_sin,13265261.623046875
PRES_rm24,12127043.806640625
DEWP_rm24,11808250.306640625
DEWP_lag3,11037749.943359375
PM10_city_mean_lag1,10440173.79296875
PM10_city_mean_rm24,10420651.48828125
station_code,9308488.095703125
PM10_leadmax3,8632930.40234375
CO_city_mean_lag6,7332806.28515625
DEWP_diff24,6354937.103515625
CO_rm24,6253525.798828125
O3_city_mean_rm24,5897071.701171875
PRES_diff24,5627035.986328125
RAIN_rsum24,5620164.30078125
CO,5600359.89453125
TEMP_rm24,5365745.6025390625
DEWP,5059054.60546875
PRES_lag3,4965752.3046875
wind_v_rm6,4588834.693359375
DEWP_lead1,4574973.90234375
PM10_city_mean_lag3,4503248.615234375
PM10_city_mean_lead3,4304103.908203125
PM10_city_mean_lead2,3995581.8984375
dow,3880439.708984375
month,3658296.2890625
CO_city_dev_lead1,3529322.701171875
CO_leadrm6,3382984.40234375
PRES_lag1,3256898.80078125
PM10_city_dev_lead1,3230815.0908203125
DEWP_diff1,3072233.109375
SO2_city_mean_rm24,3055414.3017578125
NO2_city_mean_lead2,3036845.30078125
NO2_rs24,3002670.8984375
PM10_rmax24,2941093.9951171875
SO2_lead1,2810372.802734375
O3_rmax24,2750332.908203125
PRES_diff3,2749616.79296875
PM10_rs24,2746850.00390625
NO2_city_mean_lag6,2706532.79296875
PM10_leadrm6,2685055.306640625
PM10_rmin24,2663014.595703125
PM10_lag1,2468941.0078125
TEMP_diff3,2333673.1953125
NO2_city_mean_lead1,2210773.904296875
PRES_rm6,2191282.3984375
O3_rs24,2132813.705078125
TEMP_lag3,2103056.49609375
CO_rm12,2054780.990234375
SO2_city_mean_lead1,2051362.205078125
PM10_dev24,2049832.998046875
CO_city_mean_lag3,2010811.005859375
wind_u_rm6,1991571.697265625
DEWP_lead2,1900692.0029296875
O3_city_mean_lag6,1843520.09375
PM10_city_max_lead1,1782709.6953125
NO2_city_max,1771103.69921875
TEMP_diff24,1754255.4921875
SO2_rm12,1721381.591796875
NO2_city_min,1716938.291015625
PM10_city_mean_lag6,1656493.302734375
TEMP_rm6,1615344.6015625
O3_rmax6,1609714.103515625
O3_city_max_lead1,1601679.5009765625
DEWP_diff3,1577000.11328125
hour_cos,1546443.69140625
SO2_city_min,1544292.201171875
NO2_city_mean_lead3,1464625.505859375
SO2_city_mean_lead2,1329951.3046875
NO2_city_max_lead1,1316740.291015625
PM10_city_max,1293107.203125
SO2_city_mean_lag6,1272272.208984375
SO2_city_mean_lag1,1270009.1953125
SO2_rm24,1250228.498046875
CO_rs24,1236271.396484375
WSPM_rmax6,1229009.8984375
SO2_city_mean_rm6,1227237.0927734375
O3_city_mean_lag3,1221248.095703125
O3_city_mean_lead3,1220873.40625
NO2_rmax24,1172218.4013671875
O3_city_mean_diff1,1111950.1015625
hour,1088299.197265625
WSPM_rm24,1037997.892578125
SO2_city_mean_lag3,1000484.8984375
O3_city_mean_lead1,952701.201171875
CO_rmax24,922738.708984375
NO2_city_mean_rm6,913981.19921875
PM10_lead2,908643.10546875
hour_sin,903372.607421875
PRES,902352.203125
CO_city_std,900396.6015625
PRES_lead1,889209.896484375
O3_city_mean_rm6,883944.0
CO_city_max,863045.296875
PRES_lead2,847292.197265625
PM10_lead2_diff,829811.3984375
PM10_rs6,810315.59375
O3_rm12,793984.203125
