,gain
nc_lag0,16168493737.927124
nc_rm3,6872469026.024292
PM10,6405715684.330688
nc_lag1,3895801142.5498047
PM10_city_mean,3441675641.7286377
nc_lag2,2138459465.9176025
nc_rm6,1489381102.223755
CO_city_mean,708043270.6672363
PM10_lag1,410429699.38220215
nc_diff1,255870676.22875977
PM10_diff1,235301056.38208008
PM10_rm3,214834142.93200684
PM10_city_min,214197924.55322266
PM10_city_dev,201192424.34643555
nc_lag3,170095945.3154297
PM10_city_mean_lag1,144108312.5447998
PM10_city_mean_diff1,141743822.27233887
nc_minus_pm10,140208524.09887695
CO_city_min,135937537.0916748
DEWP_diff3,118079377.97277832
nc_rm24,115909975.03259277
CO,114276034.0090332
CO_city_mean_diff1,114023735.1821289
DEWP_diff24,101231323.8449707
PM10_dev24,97536361.75866699
dewp_dep,94886821.94262695
station_code,93211135.14746094
CO_diff1,82574938.74511719
TEMP_rm24,80696630.88903809
rh,77164397.44433594
PM10_city_std,71243871.65136719
PM10_diff3,61152290.49499512
PM10_city_max,60938946.20385742
DEWP_diff1,57193748.38195801
CO_city_mean_rm24,55678833.70288086
PRES_rm24,47225845.30163574
NO2_city_mean_rm24,46990757.19274902
PM10_city_mean_rm6,46033878.5657959
PRES_diff24,43416199.62438965
DEWP,43061275.454956055
wind_v,41469657.33862305
SO2_city_mean_rm24,39539844.450683594
CO_city_mean_lag1,38615462.91125488
PM10_city_mean_rm24,37225015.95751953
O3_city_mean_rm24,35528991.087768555
CO_rm3,34608317.30957031
NO2_city_min,34027702.43688965
DEWP_lag1,33539585.123291016
nc_dev24,32773618.2611084
SO2_city_min,31773384.60522461
NO2_city_mean_diff1,31547844.052368164
PM10_rmin24,31502798.330688477
PRES_diff3,28487447.201660156
SO2_city_max,28485871.46923828
SO2_city_mean,28474403.150390625
CO_rmin24,28224457.487548828
WSPM_rmax6,27775827.55114746
DEWP_rm6,27272352.154663086
WSPM,27189870.91418457
TEMP,27043569.553466797
DEWP_lag3,26546033.998901367
NO2_diff1,26209243.803100586
wind_v_rm6,25459519.693237305
WSPM_rm24,25381296.969848633
PM10_rmax24,24306734.78942871
DEWP_rm24,24279637.189575195
CO_diff3,24158697.744628906
CO_city_std,23915321.560668945
TEMP_lag1,23561950.797607422
NO2_city_max,23322494.904418945
PRES_lag3,22808996.52722168
CO_city_mean_lag6,22739625.55053711
PRES_diff1,22395347.142456055
SO2,22267013.790527344
SO2_diff3,22233944.962158203
PM10_over_CO,22216877.959838867
NO2_city_mean,21951268.4453125
TEMP_diff1,21512720.891723633
TEMP_diff3,21102974.32409668
PM10_city_mean_lag6,20603123.3314209
SO2_city_std,20328400.90649414
TEMP_diff24,20002083.307861328
SO2_city_mean_diff1,19788819.166503906
NO2_rmax24,19483597.37438965
SO2_dev24,19403135.217895508
PM10_rmax6,19331720.94177246
O3_city_mean_lag6,19018087.9263916
CO_rm24,18963443.283691406
CO_dev24,18941361.959960938
PRES_rm6,18487716.299682617
NO2_city_std,18450237.126464844
PM10_city_mean_lag3,18011457.075805664
CO_city_max,17750154.685180664
SO2_city_mean_lag6,17573010.873413086
O3_city_mean_rm6,17535836.041137695
SO2_city_mean_lag3,17516111.916625977
O3_rmax24,17504396.176635742
O3_city_min,17461901.48840332
PM10_rs6,17253473.690307617
CO_city_dev,16966530.578979492
O3_city_mean_lag1,16907040.880126953
O3_city_mean,16862324.63293457
PM10_lag24,16747278.265625
O3_city_std,16621788.595214844
NO2_city_mean_rm6,16449869.275634766
NO2_dev24,16261639.763061523
PM10_rs24,16246733.609863281
CO_city_mean_lag3,16240313.849731445
O3_city_max,16221002.767822266
SO2_city_mean_rm6,16191509.744384766
PM10_rm24,16037859.197875977
NO2_city_mean_lag6,16034683.1875
dow,16002664.702758789
PRES_lag1,15919931.984985352
CO_rs24,15847154.349365234
SO2_diff1,15775986.839477539
O3_city_mean_lag3,15465874.11315918
