,gain
nc_c3_at_lead1,12617508750.585754
nc_c5_at_lead1,11054686697.214996
nc_lead1,9231039728.83934
nc_lead2,5961808131.141571
nc_lead_rm3,2429650333.315796
nc_lag0,2194391012.249939
PM10_lead1,855716042.1724548
nc_rm3,237673584.08718872
nc_lead1_city_mean,138241152.7774353
PM10_c5,125955450.8269043
PM10_leadrm3,119776600.01434326
PM10,98245767.50090027
nc_lead_rm6,85768913.78149414
nc_lead2_diff,78558508.11875916
nc_lead1_minus_pm10_lead1,78536355.63523865
station_code,75743238.10975647
PM10_leadmax3,75111060.71118164
PM10_lead2_diff,67116272.63772583
PM10_city_mean_lead1,49128153.81964111
TEMP_rm24,43832165.7822876
nc_lag1,38845323.353515625
PRES_rm24,34857713.36735535
CO_city_mean_rm24,33647882.62275696
nc_minus_pm10,31995516.70010376
SO2_city_mean_rm24,31497158.890823364
PM10_city_min,29125536.268798828
PM10_city_mean_rm24,28813135.73690796
PRES_diff24,27701669.9118042
O3_city_mean_rm24,27210431.91168213
NO2_city_mean_rm24,27142926.167175293
PM10_city_dev_lead1,26298073.192565918
DEWP_rm24,25669182.22418213
nc_rm24,24511114.911224365
nc_lead1_city_dev,24300137.525238037
dewp_dep,23971433.694381714
CO_lead2_diff,22924335.283294678
DEWP_diff24,22768888.708877563
nc_lead1_diff,22479517.354553223
rh,22396525.919311523
DEWP_lag1,21852222.986358643
PM10_lead1_diff,20965196.897140503
PM10_rmin24,20728901.38093567
PM10_city_mean,20065315.415283203
SO2_city_max_lead1,20011027.32559204
CO_city_dev_lead1,19975703.84361267
SO2_city_min,19291217.080429077
PM10_rm3,18807434.16027832
DEWP_lag3,18694805.550582886
PM10_rmax24,18638743.216674805
DEWP_rm6,18603994.71258545
WSPM_rm24,17994594.7678833
CO_rmin24,17327301.27090454
PM10_lead3,16861141.488311768
dow,16265252.179840088
PM10_diff1,16233357.937866211
O3_rmax24,15808922.021759033
PM10_city_mean_lead2,15589299.026672363
DEWP_lead2,15580605.572601318
CO_lead1,15473550.657348633
