id,PM2_5_next_hour
AQ_943859884785,9.003174
AQ_FCC799B477DF,9.470722
AQ_8C1F5E2F4908,9.773619
AQ_5EAA0B0DF569,7.4670563
AQ_E93E889DC0E8,8.078742
AQ_3C0D0CCE3EE8,6.954816
AQ_80B9449C4DC1,4.4656906
AQ_62890085CFB3,6.9452686
AQ_59AB85AD66E9,7.227706
AQ_53E919900058,7.2100844
AQ_FB0E7DCBB884,7.8266597
AQ_392406F2E642,6.9106965
AQ_84B141BFBBFE,7.9476824
AQ_48805164C359,8.390136
AQ_763441F6C112,7.814821
AQ_06F7B57721C0,7.9712768
AQ_3923CAD837CF,8.542852
AQ_CC4291B7ABB8,9.495874
AQ_366087303F5D,7.958629
AQ_6D438F1B5CDA,9.058006
AQ_ED86F966621C,8.643169
AQ_3092BD137FBE,5.1293535
AQ_79C3BAB3FE7C,4.9306593
AQ_2D463D329666,7.986794
AQ_89CF6A3F49A2,7.1425977
AQ_EA00E1044C8C,8.749683
AQ_3D85C2DE4004,9.324714
AQ_7308EF0C80E7,8.961163
AQ_CD4D2E39A54A,8.602325
AQ_D7E8D783FA82,9.623653
AQ_B30D0F648368,9.340632
AQ_11ED1514378D,10.45347
AQ_AF501212E0A6,10.913309
AQ_62D29ED2DF09,11.68315
AQ_F3E6C7091AA3,11.649201
AQ_73AAADF32CCD,9.543
AQ_6D0661AA876E,8.694778
AQ_3087DD6493C3,9.336546
AQ_C81ED4A8B681,8.806564
AQ_FA2056362BB5,7.329005
AQ_139D7110D772,5.7833643
AQ_953DBD52D0C7,7.1612635
AQ_9CA164ACB1D8,7.3695393
AQ_BBA9A4906357,6.2285132
AQ_2152FA5AF457,7.962843
AQ_56976F2CB9F2,7.1722155
AQ_986585AF6772,9.811276
AQ_0B9F0973F28E,11.276627
AQ_23958C66B327,8.85755
AQ_5D8910F9D4E4,8.0100155
AQ_A00BBCC21F0B,8.259655
AQ_B60A79335F35,9.849305
AQ_32C4AEA62FC5,4.6966734
AQ_4EC374639F2C,7.645601
AQ_2E9F08C5F42C,9.289072
